Id,ProjectId,NrDataId,ExtraId,CatchNo,EnvQuantity,CenterEnv,TotalEnv,Env,SerialNumber,BookletSerial,CenterCode,Route,NodalSortModified,CenterSortModified,RouteSortModified,NodalCodeRef,RouteRef,CreatedAt,UploadBatch
1,138,1474438,NULL,1253,20,1,1,1/1,1,10001-10020,2201,NULL,NULL,NULL,NULL,NULL,NULL,"2026-03-11 19:35:22.629633",1
2,138,NULL,1,1253,20,1,5,1/5,2,10021-10040,"Nodal Extra",NULL,2201.1,10000,1,2201,NULL,"2026-03-11 19:35:22.632065",1
3,138,NULL,1,1253,20,2,5,2/5,3,10041-10060,"Nodal Extra",NULL,2201.1,10000,1,2201,NULL,"2026-03-11 19:35:22.632244",1
4,138,NULL,1,1253,20,3,5,3/5,4,10061-10080,"Nodal Extra",NULL,2201.1,10000,1,2201,NULL,"2026-03-11 19:35:22.632274",1
5,138,NULL,1,1253,20,4,5,4/5,5,10081-10100,"Nodal Extra",NULL,2201.1,10000,1,2201,NULL,"2026-03-11 19:35:22.632285",1
6,138,NULL,1,1253,20,5,5,5/5,6,10101-10120,"Nodal Extra",NULL,2201.1,10000,1,2201,NULL,"2026-03-11 19:35:22.632297",1
7,138,1474439,NULL,1253,20,1,1,1/1,7,10121-10140,2208,NULL,NULL,NULL,NULL,NULL,NULL,"2026-03-11 19:35:22.632307",1
8,138,NULL,1,1253,20,6,5,1/5,8,10141-10160,"Nodal Extra",NULL,2208.1,10000,7,2208,NULL,"2026-03-11 19:35:22.632313",1
9,138,NULL,1,1253,20,7,5,2/5,9,10161-10180,"Nodal Extra",NULL,2208.1,10000,7,2208,NULL,"2026-03-11 19:35:22.632329",1
10,138,NULL,1,1253,20,8,5,3/5,10,10181-10200,"Nodal Extra",NULL,2208.1,10000,7,2208,NULL,"2026-03-11 19:35:22.632345",1
11,138,NULL,1,1253,20,9,5,4/5,11,10201-10220,"Nodal Extra",NULL,2208.1,10000,7,2208,NULL,"2026-03-11 19:35:22.632357",1
12,138,NULL,1,1253,20,10,5,5/5,12,10221-10240,"Nodal Extra",NULL,2208.1,10000,7,2208,NULL,"2026-03-11 19:35:22.632366",1
13,138,NULL,2,1253,20,1,1,1/1,13,10241-10260,"University Extra",NULL,100000,100000,10000,2208,NULL,"2026-03-11 19:35:22.632375",1
14,138,1474440,NULL,1254,20,1,1,1/1,14,10261-10280,2208,NULL,NULL,NULL,NULL,NULL,NULL,"2026-03-11 19:35:22.632385",1
15,138,NULL,1,1254,20,1,5,1/5,15,10281-10300,"Nodal Extra",NULL,2208.1,10000,7,2208,NULL,"2026-03-11 19:35:22.632389",1
16,138,NULL,1,1254,20,2,5,2/5,16,10301-10320,"Nodal Extra",NULL,2208.1,10000,7,2208,NULL,"2026-03-11 19:35:22.632398",1
17,138,NULL,1,1254,20,3,5,3/5,17,10321-10340,"Nodal Extra",NULL,2208.1,10000,7,2208,NULL,"2026-03-11 19:35:22.632408",1
18,138,NULL,1,1254,20,4,5,4/5,18,10341-10360,"Nodal Extra",NULL,2208.1,10000,7,2208,NULL,"2026-03-11 19:35:22.632418",1
19,138,NULL,1,1254,20,5,5,5/5,19,10361-10380,"Nodal Extra",NULL,2208.1,10000,7,2208,NULL,"2026-03-11 19:35:22.632426",1
20,138,NULL,2,1254,20,1,1,1/1,20,10381-10400,"University Extra",NULL,100000,100000,10000,2208,NULL,"2026-03-11 19:35:22.632436",1
21,138,1474441,NULL,1255,20,1,1,1/1,21,10401-10420,2208,NULL,NULL,NULL,NULL,NULL,NULL,"2026-03-11 19:35:22.632446",1
22,138,NULL,1,1255,20,1,5,1/5,22,10421-10440,"Nodal Extra",NULL,2208.1,10000,7,2208,NULL,"2026-03-11 19:35:22.632452",1
23,138,NULL,1,1255,20,2,5,2/5,23,10441-10460,"Nodal Extra",NULL,2208.1,10000,7,2208,NULL,"2026-03-11 19:35:22.632461",1
24,138,NULL,1,1255,20,3,5,3/5,24,10461-10480,"Nodal Extra",NULL,2208.1,10000,7,2208,NULL,"2026-03-11 19:35:22.632470",1
25,138,NULL,1,1255,20,4,5,4/5,25,10481-10500,"Nodal Extra",NULL,2208.1,10000,7,2208,NULL,"2026-03-11 19:35:22.632480",1
26,138,NULL,1,1255,20,5,5,5/5,26,10501-10520,"Nodal Extra",NULL,2208.1,10000,7,2208,NULL,"2026-03-11 19:35:22.632489",1
27,138,NULL,2,1255,20,1,1,1/1,27,10521-10540,"University Extra",NULL,100000,100000,10000,2208,NULL,"2026-03-11 19:35:22.632498",1
28,138,1474442,NULL,2150,20,1,1,1/1,28,10541-10560,2201,NULL,NULL,NULL,NULL,NULL,NULL,"2026-03-11 19:35:22.632510",1
29,138,NULL,1,2150,20,1,5,1/5,29,10561-10580,"Nodal Extra",NULL,2201.1,10000,1,2201,NULL,"2026-03-11 19:35:22.632516",1
